county_fips,county_name,analysis_days,temp_imputed_days,pct_analysis_days_imputed,native_analysis_days,fully_imputed_county
48229,Hudspeth,4018,5,0.1,4013,False
48095,Concho,4018,4,0.1,4014,False
48399,Runnels,4018,5,0.1,4013,False
48411,San Saba,4018,3,0.1,4015,False
48497,Wise,4018,3,0.1,4015,False
48041,Brazos,4018,3,0.1,4015,False
48225,Houston,4018,5,0.1,4013,False
48251,Johnson,4018,3,0.1,4015,False
48043,Brewster,4018,0,0.0,4018,False
48029,Bexar,4018,0,0.0,4018,False
48069,Castro,4018,0,0.0,4018,False
48075,Childress,4018,0,0.0,4018,False
48061,Cameron,4018,0,0.0,4018,False
48089,Colorado,4018,2,0.0,4016,False
48013,Atascosa,4018,2,0.0,4016,False
48017,Bailey,4018,0,0.0,4018,False
48001,Anderson,4018,0,0.0,4018,False
48005,Angelina,4018,0,0.0,4018,False
48037,Bowie,4018,1,0.0,4017,False
48039,Brazoria,4018,0,0.0,4018,False
48023,Baylor,4018,0,0.0,4018,False
48059,Callahan,4018,0,0.0,4018,False
48053,Burnet,4018,0,0.0,4018,False
48045,Briscoe,4018,2,0.0,4016,False
48169,Garza,4018,0,0.0,4018,False
48179,Gray,4018,1,0.0,4017,False
48177,Gonzales,4018,0,0.0,4018,False
48125,Dickens,4018,0,0.0,4018,False
48141,El Paso,4018,0,0.0,4018,False
48181,Grayson,4018,0,0.0,4018,False
48085,Collin,4018,0,0.0,4018,False
48079,Cochran,4018,0,0.0,4018,False
48083,Coleman,4018,0,0.0,4018,False
48107,Crosby,4018,0,0.0,4018,False
48109,Culberson,4018,0,0.0,4018,False
48113,Dallas,4018,0,0.0,4018,False
48121,Denton,4018,0,0.0,4018,False
48249,Jim Wells,4018,0,0.0,4018,False
48245,Jefferson,4018,0,0.0,4018,False
48243,Jeff Davis,4018,0,0.0,4018,False
48233,Hutchinson,4018,0,0.0,4018,False
48231,Hunt,4018,0,0.0,4018,False
