county_fips,year,classified_assessment_dates
48267,2018,47
48267,2019,40
48267,2020,44
48267,2022,47
48267,2023,71
48267,2024,28
48269,2015,13
48269,2016,22
48269,2017,10
48269,2018,21
48269,2019,24
48269,2020,28
48269,2021,7
48269,2022,58
48269,2023,47
48269,2024,36
48269,2025,8
48271,2016,14
48271,2017,8
48271,2018,14
48271,2019,3
48271,2020,18
48271,2022,32
48271,2023,63
48271,2024,24
48273,2015,8
48273,2016,22
48273,2017,29
48273,2018,25
48273,2019,39
48273,2020,22
48273,2021,5
48273,2022,39
48273,2023,95
48273,2024,47
48273,2025,12
48275,2015,9
48275,2016,16
48275,2017,6
48275,2018,23
48275,2019,14
48275,2020,20
48275,2021,8
48275,2022,57
48275,2023,49
48275,2024,29
48275,2025,6
48277,2015,16
48277,2016,21
48277,2017,2
48277,2018,12
48277,2019,10
48277,2020,5
48277,2021,2
48277,2022,37
48277,2023,25
48277,2024,20
48277,2025,7
48279,2015,6
48279,2016,23
48279,2017,17
48279,2018,22
48279,2019,25
48279,2020,35
48279,2021,11
48279,2022,45
48279,2023,38
48279,2024,42
48279,2025,9
48281,2015,22
48281,2016,28
48281,2017,8
48281,2018,37
48281,2019,23
48281,2020,26
48281,2022,52
48281,2023,77
48281,2024,28
48281,2025,1
48283,2015,38
48283,2016,46
48283,2017,34
48283,2018,23
48283,2019,77
48283,2020,40
48283,2021,31
48283,2022,77
48283,2023,95
48283,2024,65
48283,2025,38
48285,2015,24
48285,2016,26
48285,2017,48
48285,2018,58
48285,2019,70
48285,2020,45
48285,2021,12
48285,2022,70
48285,2023,95
48285,2024,45
48285,2025,15
48287,2015,15
48287,2016,20
48287,2017,21
48287,2018,20
48287,2019,38
48287,2020,39
48287,2022,43
48287,2023,77
48287,2024,16
48287,2025,1
48289,2015,13
48289,2016,17
48289,2017,11
48289,2018,18
48289,2019,6
48289,2020,18
48289,2022,12
48289,2023,57
48289,2024,16
48289,2025,3
48291,2015,20
48291,2016,35
48291,2017,8
48291,2018,17
48291,2019,23
48291,2020,26
48291,2021,8
48291,2022,49
48291,2023,75
48291,2024,31
48291,2025,8
48293,2015,16
48293,2016,24
48293,2017,7
48293,2018,28
48293,2019,18
48293,2020,21
48293,2022,56
48293,2023,68
48293,2024,22
48295,2015,17
48295,2016,14
48295,2017,13
48295,2018,5
48295,2019,18
48295,2020,12
48295,2021,7
48295,2022,36
48295,2023,20
48295,2024,30
48295,2025,10
48297,2015,4
48297,2016,24
48297,2017,22
48297,2018,21
48297,2019,33
48297,2020,20
48297,2022,36
48297,2023,76
48297,2024,29
48297,2025,48
48299,2015,18
48299,2016,25
48299,2017,6
48299,2018,34
48299,2019,25
48299,2020,25
48299,2022,46
48299,2023,76
48299,2024,13
48301,2015,22
48301,2016,36
48301,2017,12
48301,2018,35
48301,2019,30
48301,2020,35
48301,2021,9
48301,2022,51
48301,2023,66
48301,2024,47
48301,2025,7
48303,2015,11
48303,2016,27
48303,2017,14
48303,2018,30
48303,2019,28
48303,2020,31
48303,2021,9
48303,2022,48
48303,2023,54
48303,2024,37
48303,2025,12
48305,2015,15
48305,2016,32
48305,2017,17
48305,2018,42
48305,2019,26
48305,2020,32
48305,2021,6
48305,2022,51
48305,2023,52
48305,2024,42
48305,2025,9
48307,2015,36
48307,2016,18
48307,2017,7
48307,2018,21
48307,2019,16
48307,2020,19
48307,2022,35
48307,2023,63
48307,2024,27
48307,2025,1
48309,2015,16
48309,2016,27
48309,2017,14
48309,2018,46
48309,2019,16
48309,2020,20
48309,2021,1
48309,2022,60
48309,2023,59
48309,2024,22
48311,2015,14
48311,2016,30
48311,2017,21
48311,2018,14
48311,2019,32
48311,2020,14
48311,2022,38
48311,2023,65
48311,2024,12
48311,2025,11
48313,2015,4
48313,2016,8
48313,2017,6
48313,2018,19
48313,2019,17
48313,2020,21
48313,2022,50
48313,2023,64
48313,2024,12
48315,2015,22
48315,2016,22
48315,2017,7
48315,2018,29
48315,2019,16
48315,2020,1
48315,2021,3
48315,2022,36
48315,2023,39
48315,2024,12
48315,2025,6
48317,2015,22
48317,2016,35
48317,2017,12
48317,2018,38
48317,2019,32
48317,2020,37
48317,2021,6
48317,2022,57
48317,2023,65
48317,2024,43
48317,2025,11
48319,2015,31
48319,2016,39
48319,2017,21
48319,2018,49
48319,2019,29
48319,2020,42
48319,2021,10
48319,2022,72
48319,2023,84
48319,2024,31
48319,2025,4
48321,2015,24
48321,2016,25
48321,2017,5
48321,2018,11
48321,2019,36
48321,2020,26
48321,2021,2
48321,2022,34
48321,2023,78
48321,2024,27
48321,2025,5
48323,2016,5
48323,2017,3
48323,2018,1
48323,2020,3
48323,2022,9
48323,2023,34
48323,2024,3
48325,2015,19
48325,2016,24
48325,2017,44
48325,2018,52
48325,2019,33
48325,2020,35
48325,2021,5
48325,2022,71
48325,2023,69
48325,2024,59
48325,2025,10
48327,2015,22
48327,2016,28
48327,2017,7
48327,2018,28
48327,2019,17
48327,2020,25
48327,2022,49
48327,2023,65
48327,2024,23
48329,2015,27
48329,2016,45
48329,2017,19
48329,2018,54
48329,2019,34
48329,2020,43
48329,2021,7
48329,2022,51
48329,2023,67
48329,2024,42
48329,2025,18
48331,2015,13
48331,2016,18
48331,2017,7
48331,2018,40
48331,2019,31
48331,2020,35
48331,2021,9
48331,2022,61
48331,2023,77
48331,2024,22
48331,2025,5
48333,2015,24
48333,2016,17
48333,2017,6
48333,2018,23
48333,2019,20
48333,2020,22
48333,2022,50
48333,2023,70
48333,2024,25
48333,2025,5
48335,2015,8
48335,2016,24
48335,2017,3
48335,2018,20
48335,2019,23
48335,2020,28
48335,2022,46
48335,2023,61
48335,2024,36
48335,2025,3
48337,2015,6
48337,2016,9
48337,2017,2
48337,2018,24
48337,2019,11
48337,2020,13
48337,2022,35
48337,2023,48
48337,2024,29
48337,2025,1
48339,2015,24
48339,2016,39
48339,2017,19
48339,2018,18
48339,2019,20
48339,2020,27
48339,2021,6
48339,2022,59
