stratum,stratum_label,construct_id,counties,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,median_cumulative_classified_days,classified_days_per_1000_valid,warm_season_rate_per_1000,shoulder_rate_per_1000,cool_season_rate_per_1000,pct_days_june_september,long_events_per_100_county_years,pct_classified_days_imputed
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P90_D2_A80_W15,197,27.0,16.0,43.0,8.0,338.0,89.671,124.055,122.192,55.407,46.21,8.722,1.11
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P90_D2_A90_W15,197,15.0,7.0,31.0,5.0,232.0,59.135,123.938,86.711,6.089,70.0,8.399,0.9
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P90_D3_A80_W15,197,18.0,10.0,33.0,4.0,251.0,67.242,104.488,94.631,32.807,51.9,8.722,1.08
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P90_D3_A90_W15,197,11.0,3.0,25.0,2.0,176.0,47.146,104.379,65.104,2.485,73.95,8.399,0.87
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P90_D5_A80_W15,197,9.0,4.0,19.0,1.0,141.0,39.279,70.797,55.577,12.492,60.2,8.722,0.99
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P90_D5_A90_W15,197,5.0,0.0,15.0,1.0,114.0,30.449,70.771,38.302,0.626,77.63,8.399,0.78
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P80_D2_W15,197,72.0,55.0,96.0,20.0,827.0,212.746,233.321,228.806,193.405,36.63,28.103,1.42
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P80_D3_W15,197,56.0,40.0,80.0,11.0,659.0,170.898,206.851,191.04,139.813,40.43,28.103,1.41
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P80_D5_W15,197,32.0,20.0,51.0,4.0,405.0,106.84,156.782,131.585,64.765,49.01,28.103,1.41
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P85_D2_W15,197,53.0,39.0,74.0,16.0,629.0,161.695,180.135,176.764,144.13,37.21,18.228,1.34
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P85_D3_W15,197,39.0,27.0,58.0,8.0,479.0,125.065,155.832,143.338,98.109,41.62,18.228,1.34
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P85_D5_W15,197,21.0,12.0,35.0,3.0,278.0,74.727,113.43,92.093,42.74,50.7,18.228,1.31
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P90_D2_W15,197,34.0,24.0,50.0,11.0,418.0,109.674,124.055,122.229,95.701,37.78,8.722,1.24
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P90_D3_W15,197,24.0,16.0,37.0,6.0,304.0,81.501,104.488,94.683,61.522,42.82,8.722,1.26
imputation_lt_20pct,Counties with less than 20% imputation,REL_TX_P90_D5_W15,197,12.0,5.0,21.0,2.0,166.0,45.743,70.797,55.659,25.49,51.69,8.722,1.3
imputation_lt_10pct,Counties with less than 10% imputation,ABS_TX_A80_D2,188,184.0,168.0,206.0,13.0,2040.5,517.927,967.078,695.077,155.05,62.36,202.031,0.99
imputation_lt_10pct,Counties with less than 10% imputation,ABS_TX_A80_D3,188,177.0,160.0,199.0,10.0,1944.5,497.426,964.716,669.183,124.186,64.78,202.031,1.0
imputation_lt_10pct,Counties with less than 10% imputation,ABS_TX_A80_D5,188,164.0,149.0,186.0,6.0,1815.5,462.962,959.647,603.981,80.451,69.23,202.031,1.01
imputation_lt_10pct,Counties with less than 10% imputation,ABS_TX_A90_D2,188,98.5,83.0,115.0,10.0,1084.5,273.469,713.963,177.63,9.787,87.2,169.923,1.0
imputation_lt_10pct,Counties with less than 10% imputation,ABS_TX_A90_D3,188,94.0,78.0,111.0,8.0,1042.5,260.032,694.819,149.763,5.127,89.25,169.923,1.02
imputation_lt_10pct,Counties with less than 10% imputation,ABS_TX_A90_D5,188,86.0,68.0,105.0,5.0,956.0,238.096,652.04,112.599,2.427,91.47,169.923,1.02
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P80_D2_A80_W15,188,53.0,35.75,79.0,14.0,608.0,161.795,233.5,229.269,90.458,48.2,27.853,0.67
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P80_D2_A90_W15,188,33.0,17.0,54.0,8.0,410.0,104.042,232.18,131.949,8.259,74.53,25.484,0.62
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P80_D3_A80_W15,188,41.0,25.0,65.0,8.0,492.0,131.299,207.082,191.575,59.679,52.68,27.853,0.65
