construct_id,construct_family,month,season,classified_days,valid_daily_observations,counties,classified_days_per_1000_valid,month_name,short_label,percentile,duration_days,absolute_gate_f,threshold_window,day_label,denominator_definition
HYB_TX_P90_D3_A80_W15,hybrid,10,shoulder,8967,86614,254,103.528,Oct,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,11,cool,4521,83820,254,53.937,Nov,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,12,cool,2087,86614,254,24.095,Dec,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,1,cool,4,86614,254,0.046,Jan,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,2,cool,57,78994,254,0.722,Feb,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,3,cool,351,86614,254,4.052,Mar,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,4,cool,481,83820,254,5.738,Apr,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,5,shoulder,6438,86614,254,74.33,May,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,6,warm,6918,83820,254,82.534,Jun,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,7,warm,9144,86614,254,105.572,Jul,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,8,warm,10820,86614,254,124.922,Aug,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,9,warm,7423,83820,254,88.559,Sep,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,10,shoulder,4638,86614,254,53.548,Oct,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,11,cool,172,83820,254,2.052,Nov,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A90_W15,hybrid,12,cool,2,86614,254,0.023,Dec,TX-P90-D3+A90,90.0,3,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,1,cool,138,86614,254,1.593,Jan,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,2,cool,641,78994,254,8.115,Feb,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,3,cool,1477,86614,254,17.053,Mar,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,4,cool,339,83820,254,4.044,Apr,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,5,shoulder,4543,86614,254,52.451,May,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,6,warm,4438,83820,254,52.947,Jun,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,7,warm,6299,86614,254,72.725,Jul,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,8,warm,8015,86614,254,92.537,Aug,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,9,warm,4389,83820,254,52.362,Sep,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,10,shoulder,4909,86614,254,56.677,Oct,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,11,cool,2472,83820,254,29.492,Nov,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A80_W15,hybrid,12,cool,889,86614,254,10.264,Dec,TX-P90-D5+A80,90.0,5,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,1,cool,0,86614,254,0.0,Jan,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,2,cool,14,78994,254,0.177,Feb,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,3,cool,53,86614,254,0.612,Mar,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,4,cool,96,83820,254,1.145,Apr,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,5,shoulder,4073,86614,254,47.025,May,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,6,warm,4438,83820,254,52.947,Jun,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,7,warm,6299,86614,254,72.725,Jul,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,8,warm,8015,86614,254,92.537,Aug,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,9,warm,4382,83820,254,52.279,Sep,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,10,shoulder,2486,86614,254,28.702,Oct,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,11,cool,83,83820,254,0.99,Nov,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D5_A90_W15,hybrid,12,cool,0,86614,254,0.0,Dec,TX-P90-D5+A90,90.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
REL_TX_P80_D2_W15,relative,1,cool,12824,86614,254,148.059,Jan,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,2,cool,17384,78994,254,220.067,Feb,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,3,cool,17743,86614,254,204.851,Mar,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,4,cool,11530,83820,254,137.557,Apr,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,5,shoulder,16396,86614,254,189.3,May,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,6,warm,17702,83820,254,211.191,Jun,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,7,warm,19604,86614,254,226.338,Jul,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,8,warm,20770,86614,254,239.8,Aug,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,9,warm,19919,83820,254,237.64,Sep,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,10,shoulder,22697,86614,254,262.048,Oct,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,11,cool,15370,83820,254,183.369,Nov,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D2_W15,relative,12,cool,21460,86614,254,247.766,Dec,TX-P80-D2,80.0,2,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D3_W15,relative,1,cool,8712,86614,254,100.584,Jan,TX-P80-D3,80.0,3,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D3_W15,relative,2,cool,12880,78994,254,163.05,Feb,TX-P80-D3,80.0,3,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D3_W15,relative,3,cool,12917,86614,254,149.133,Mar,TX-P80-D3,80.0,3,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D3_W15,relative,4,cool,6378,83820,254,76.092,Apr,TX-P80-D3,80.0,3,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D3_W15,relative,5,shoulder,13860,86614,254,160.02,May,TX-P80-D3,80.0,3,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D3_W15,relative,6,warm,15481,83820,254,184.693,Jun,TX-P80-D3,80.0,3,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
REL_TX_P80_D3_W15,relative,7,warm,17732,86614,254,204.724,Jul,TX-P80-D3,80.0,3,,w15,relative warm-spell day,the daily high is present AND a historical threshold exists
