county_fips,relative_construct,hybrid_construct,label,percentile,duration_days,absolute_gate_f,cumulative_classified_days_no_gate,cumulative_classified_days_with_gate,cumulative_events_no_gate,classified_days_lost,pct_retained,county_name,pct_analysis_days_imputed,fully_imputed_county,analysis_days,native_analysis_days
48269,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,745,568,223,177,76.24,King,0.0,False,4018,4018
48271,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,591,455,147,136,76.99,Kinney,43.5,False,4018,2271
48273,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1052,1033,233,19,98.19,Kleberg,0.0,False,4018,4018
48275,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,768,582,208,186,75.78,Knox,11.2,False,4018,3566
48277,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,669,413,177,256,61.73,Lamar,0.1,False,4018,4015
48279,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,790,540,246,250,68.35,Lamb,0.0,False,4018,4018
48281,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,845,636,193,209,75.27,Lampasas,80.3,False,4018,790
48283,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1186,1161,261,25,97.89,La Salle,0.7,False,4018,3991
48285,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1210,1072,262,138,88.6,Lavaca,0.8,False,4018,3986
48287,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,893,721,195,172,80.74,Lee,2.2,False,4018,3928
48289,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,716,503,183,213,70.25,Leon,1.8,False,4018,3945
48291,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1045,792,221,253,75.79,Liberty,0.0,False,4018,4016
48293,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,654,457,163,197,69.88,Limestone,69.3,False,4018,1235
48295,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,767,493,228,274,64.28,Lipscomb,0.4,False,4018,4002
48297,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,900,819,200,81,91.0,Live Oak,0.0,False,4018,4018
48299,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,892,723,208,169,81.05,Llano,0.0,False,4018,4018
48301,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,912,654,228,258,71.71,Loving,100.0,True,4018,0
48303,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,779,550,243,229,70.6,Lubbock,0.0,False,4018,4018
48305,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,778,577,233,201,74.16,Lynn,0.0,False,4018,4018
48307,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,631,498,181,133,78.92,McCulloch,3.4,False,4018,3883
48309,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1047,758,229,289,72.4,McLennan,0.0,False,4018,4018
48311,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,806,760,206,46,94.29,McMullen,0.1,False,4018,4012
48313,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,550,403,151,147,73.27,Madison,7.1,False,4018,3732
48315,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,740,516,207,224,69.73,Marion,7.3,False,4018,3724
48317,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,947,670,229,277,70.75,Martin,100.0,True,4018,0
48319,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1074,864,218,210,80.45,Mason,0.0,False,4018,4017
