axis,contrast_pair,from_run,to_run,from_value,to_value,days_from,days_to,days_ratio_hi_over_lo,pct_change,jaccard
window,month vs w05,TMAX_P95_2D__month,TMAX_P95_2D__w05,month,w05,55270,62917,1.1384,13.8,0.6033
window,month vs w15,MHI_P90_3D__w15,MHI_P90_3D__month,w15,month,77785,79886,1.027,2.7,0.6047
window,month_pm7 vs w05,TMIN_P95_2D__month_pm7,TMIN_P95_2D__w05,month_pm7,w05,56590,67525,1.1932,19.3,0.6095
window,month vs w15,TMAX_P95_3D__month,TMAX_P95_3D__w15,month,w15,38426,38876,1.0117,1.2,0.6143
window,month_pm7 vs w05,TMAX_P90_3D__month_pm7,TMAX_P90_3D__w05,month_pm7,w05,72426,85949,1.1867,18.7,0.6166
window,month vs w05,MHI_P90_2D__month,MHI_P90_2D__w05,month,w05,110334,116802,1.0586,5.9,0.6181
window,month vs w05,TMIN_P95_2D__month,TMIN_P95_2D__w05,month,w05,61903,67525,1.0908,9.1,0.6248
window,month vs w05,TMAX_P90_3D__month,TMAX_P90_3D__w05,month,w05,80451,85949,1.0683,6.8,0.6296
window,month_pm7 vs w15,TMAX_P95_2D__month_pm7,TMAX_P95_2D__w15,month_pm7,w15,48059,56576,1.1772,17.7,0.6308
window,month_pm7 vs w15,MHI_P90_2D__month_pm7,MHI_P90_2D__w15,month_pm7,w15,99482,110243,1.1082,10.8,0.6315
window,month_pm7 vs w15,TMIN_P95_3D__month_pm7,TMIN_P95_3D__w15,month_pm7,w15,39412,42638,1.0819,8.2,0.6383
window,month vs w15,TMAX_P95_2D__month,TMAX_P95_2D__w15,month,w15,55270,56576,1.0236,2.4,0.6395
window,month vs w15,MHI_P90_2D__w15,MHI_P90_2D__month,w15,month,110243,110334,1.0008,0.1,0.6409
window,month vs w15,TMIN_P95_3D__w15,TMIN_P95_3D__month,w15,month,42638,43309,1.0157,1.6,0.6439
window,month_pm7 vs w05,TMAX_P90_2D__month_pm7,TMAX_P90_2D__w05,month_pm7,w05,97478,114603,1.1757,17.6,0.6455
window,month_pm7 vs w15,TMAX_P90_3D__month_pm7,TMAX_P90_3D__w15,month_pm7,w15,72426,80755,1.115,11.5,0.6484
window,month_pm7 vs w05,TMAX_P85_3D__month_pm7,TMAX_P85_3D__w05,month_pm7,w05,115678,130118,1.1248,12.5,0.6524
window,month vs w15,TMAX_P90_3D__month,TMAX_P90_3D__w15,month,w15,80451,80755,1.0038,0.4,0.6528
window,month vs w05,TMAX_P90_2D__month,TMAX_P90_2D__w05,month,w05,106769,114603,1.0734,7.3,0.6597
window,month_pm7 vs w05,TMIN_P90_3D__month_pm7,TMIN_P90_3D__w05,month_pm7,w05,87272,95876,1.0986,9.9,0.6605
window,month vs w05,TMAX_P85_3D__month,TMAX_P85_3D__w05,month,w05,124531,130118,1.0449,4.5,0.6634
window,month_pm7 vs w15,TMIN_P95_2D__month_pm7,TMIN_P95_2D__w15,month_pm7,w15,56590,61496,1.0867,8.7,0.6652
window,month vs w05,TMIN_P90_3D__month,TMIN_P90_3D__w05,month,w05,93161,95876,1.0291,2.9,0.6678
window,month vs w15,TMIN_P95_2D__w15,TMIN_P95_2D__month,w15,month,61496,61903,1.0066,0.7,0.6729
window,month_pm7 vs w15,TMAX_P85_3D__month_pm7,TMAX_P85_3D__w15,month_pm7,w15,115678,124812,1.079,7.9,0.6731
window,month_pm7 vs w15,TMAX_P90_2D__month_pm7,TMAX_P90_2D__w15,month_pm7,w15,97478,108359,1.1116,11.2,0.6747
window,month_pm7 vs w05,TMAX_P85_2D__month_pm7,TMAX_P85_2D__w05,month_pm7,w05,148222,166682,1.1245,12.5,0.6786
window,month vs w15,TMAX_P85_3D__month,TMAX_P85_3D__w15,month,w15,124531,124812,1.0023,0.2,0.6794
window,month vs w15,TMAX_P90_2D__month,TMAX_P90_2D__w15,month,w15,106769,108359,1.0149,1.5,0.6818
window,month_pm7 vs w05,TMIN_P90_2D__month_pm7,TMIN_P90_2D__w05,month_pm7,w05,115028,127906,1.112,11.2,0.6821
window,month vs w05,TMIN_P90_2D__month,TMIN_P90_2D__w05,month,w05,122363,127906,1.0453,4.5,0.6904
window,month vs w05,TMAX_P85_2D__month,TMAX_P85_2D__w05,month,w05,158349,166682,1.0526,5.3,0.691
window,month_pm7 vs w15,TMIN_P90_3D__month_pm7,TMIN_P90_3D__w15,month_pm7,w15,87272,91133,1.0442,4.4,0.6942
window,month_pm7 vs w05,TMIN_P85_3D__month_pm7,TMIN_P85_3D__w05,month_pm7,w05,138124,148116,1.0723,7.2,0.6978
window,month vs w15,TMIN_P90_3D__w15,TMIN_P90_3D__month,w15,month,91133,93161,1.0223,2.2,0.6989
window,month_pm7 vs w15,TMAX_P85_2D__month_pm7,TMAX_P85_2D__w15,month_pm7,w15,148222,161004,1.0862,8.6,0.6991
window,month vs w05,TMIN_P85_3D__month,TMIN_P85_3D__w05,month,w05,145237,148116,1.0198,2.0,0.7035
window,month vs w15,TMAX_P85_2D__month,TMAX_P85_2D__w15,month,w15,158349,161004,1.0168,1.7,0.7073
window,month_pm7 vs w15,TMIN_P90_2D__month_pm7,TMIN_P90_2D__w15,month_pm7,w15,115028,121777,1.0587,5.9,0.7171
window,month_pm7 vs w05,TMIN_P85_2D__month_pm7,TMIN_P85_2D__w05,month_pm7,w05,174134,187198,1.075,7.5,0.7209
window,month vs w15,TMIN_P90_2D__w15,TMIN_P90_2D__month,w15,month,121777,122363,1.0048,0.5,0.7223
window,month_pm7 vs w15,TMIN_P85_3D__month_pm7,TMIN_P85_3D__w15,month_pm7,w15,138124,143020,1.0354,3.5,0.7253
window,month vs w05,TMIN_P85_2D__month,TMIN_P85_2D__w05,month,w05,182251,187198,1.0271,2.7,0.7269
window,month vs w15,TMIN_P85_3D__w15,TMIN_P85_3D__month,w15,month,143020,145237,1.0155,1.6,0.7283
window,month_pm7 vs w15,TMIN_P85_2D__month_pm7,TMIN_P85_2D__w15,month_pm7,w15,174134,181444,1.042,4.2,0.7471
window,month vs w15,TMIN_P85_2D__w15,TMIN_P85_2D__month,w15,month,181444,182251,1.0044,0.4,0.7513
window,w05 vs w15,TMIN_P95_3D__w15,TMIN_P95_3D__w05,w15,w05,42638,47099,1.1046,10.5,0.7791
window,w05 vs w15,TMAX_P95_3D__w15,TMAX_P95_3D__w05,w15,w05,38876,43977,1.1312,13.1,0.7819
window,w05 vs w15,TMIN_P95_2D__w15,TMIN_P95_2D__w05,w15,w05,61496,67525,1.098,9.8,0.7944
window,w05 vs w15,TMAX_P95_2D__w15,TMAX_P95_2D__w05,w15,w05,56576,62917,1.1121,11.2,0.8011
window,month vs month_pm7,TMAX_P95_3D__month_pm7,TMAX_P95_3D__month,month_pm7,month,32851,38426,1.1697,17.0,0.8293
window,w05 vs w15,MHI_P90_3D__w15,MHI_P90_3D__w05,w15,w05,77785,82824,1.0648,6.5,0.8348
window,w05 vs w15,TMIN_P90_3D__w15,TMIN_P90_3D__w05,w15,w05,91133,95876,1.052,5.2,0.8427
window,month vs month_pm7,TMAX_P95_2D__month_pm7,TMAX_P95_2D__month,month_pm7,month,48059,55270,1.15,15.0,0.8463
window,w05 vs w15,MHI_P90_2D__w15,MHI_P90_2D__w05,w15,w05,110243,116802,1.0595,5.9,0.8496
window,month vs month_pm7,MHI_P90_3D__month_pm7,MHI_P90_3D__month,month_pm7,month,71012,79886,1.125,12.5,0.851
window,w05 vs w15,TMAX_P90_3D__w15,TMAX_P90_3D__w05,w15,w05,80755,85949,1.0643,6.4,0.8518
window,w05 vs w15,TMIN_P90_2D__w15,TMIN_P90_2D__w05,w15,w05,121777,127906,1.0503,5.0,0.8576
window,w05 vs w15,TMAX_P90_2D__w15,TMAX_P90_2D__w05,w15,w05,108359,114603,1.0576,5.8,0.8637
window,month vs month_pm7,TMIN_P95_3D__month_pm7,TMIN_P95_3D__month,month_pm7,month,39412,43309,1.0989,9.9,0.8662
window,month vs month_pm7,MHI_P90_2D__month_pm7,MHI_P90_2D__month,month_pm7,month,99482,110334,1.1091,10.9,0.8712
window,w05 vs w15,TMIN_P85_3D__w15,TMIN_P85_3D__w05,w15,w05,143020,148116,1.0356,3.6,0.873
window,w05 vs w15,TMAX_P85_3D__w15,TMAX_P85_3D__w05,w15,w05,124812,130118,1.0425,4.3,0.8776
window,month vs month_pm7,TMAX_P90_3D__month_pm7,TMAX_P90_3D__month,month_pm7,month,72426,80451,1.1108,11.1,0.8783
window,month vs month_pm7,TMIN_P95_2D__month_pm7,TMIN_P95_2D__month,month_pm7,month,56590,61903,1.0939,9.4,0.8798
window,w05 vs w15,TMIN_P85_2D__w15,TMIN_P85_2D__w05,w15,w05,181444,187198,1.0317,3.2,0.8849
window,w05 vs w15,TMAX_P85_2D__w15,TMAX_P85_2D__w05,w15,w05,161004,166682,1.0353,3.5,0.8884
window,month vs month_pm7,TMAX_P90_2D__month_pm7,TMAX_P90_2D__month,month_pm7,month,97478,106769,1.0953,9.5,0.8931
window,month vs month_pm7,TMIN_P90_3D__month_pm7,TMIN_P90_3D__month,month_pm7,month,87272,93161,1.0675,6.7,0.9041
window,month vs month_pm7,TMAX_P85_3D__month_pm7,TMAX_P85_3D__month,month_pm7,month,115678,124531,1.0765,7.7,0.9071
window,month vs month_pm7,TMIN_P90_2D__month_pm7,TMIN_P90_2D__month,month_pm7,month,115028,122363,1.0638,6.4,0.9135
window,month vs month_pm7,TMAX_P85_2D__month_pm7,TMAX_P85_2D__month,month_pm7,month,148222,158349,1.0683,6.8,0.9167
window,month vs month_pm7,TMIN_P85_3D__month_pm7,TMIN_P85_3D__month,month_pm7,month,138124,145237,1.0515,5.1,0.9254
window,month vs month_pm7,TMIN_P85_2D__month_pm7,TMIN_P85_2D__month,month_pm7,month,174134,182251,1.0466,4.7,0.9333
