axis,run_a,run_b,definition_a,definition_b,value_a,value_b,metric,percentile,min_duration,window
duration,TMIN_P95_2D__month,TMIN_P95_3D__month,TMIN_P95_2D,TMIN_P95_3D,2,3,TMIN,95,,month
duration,TMIN_P95_2D__month_pm7,TMIN_P95_3D__month_pm7,TMIN_P95_2D,TMIN_P95_3D,2,3,TMIN,95,,month_pm7
window,MHI_P90_2D__w05,MHI_P90_2D__w15,MHI_P90_2D,MHI_P90_2D,w05,w15,MHI,90,2,
window,MHI_P90_2D__w05,MHI_P90_2D__month,MHI_P90_2D,MHI_P90_2D,w05,month,MHI,90,2,
window,MHI_P90_2D__w05,MHI_P90_2D__month_pm7,MHI_P90_2D,MHI_P90_2D,w05,month_pm7,MHI,90,2,
duration,MHI_P90_2D__w05,MHI_P90_3D__w05,MHI_P90_2D,MHI_P90_3D,2,3,MHI,90,,w05
window,MHI_P90_2D__w15,MHI_P90_2D__month,MHI_P90_2D,MHI_P90_2D,w15,month,MHI,90,2,
window,MHI_P90_2D__w15,MHI_P90_2D__month_pm7,MHI_P90_2D,MHI_P90_2D,w15,month_pm7,MHI,90,2,
duration,MHI_P90_2D__w15,MHI_P90_3D__w15,MHI_P90_2D,MHI_P90_3D,2,3,MHI,90,,w15
window,MHI_P90_2D__month,MHI_P90_2D__month_pm7,MHI_P90_2D,MHI_P90_2D,month,month_pm7,MHI,90,2,
duration,MHI_P90_2D__month,MHI_P90_3D__month,MHI_P90_2D,MHI_P90_3D,2,3,MHI,90,,month
duration,MHI_P90_2D__month_pm7,MHI_P90_3D__month_pm7,MHI_P90_2D,MHI_P90_3D,2,3,MHI,90,,month_pm7
window,TMAX_P90_3D__w05,TMAX_P90_3D__w15,TMAX_P90_3D,TMAX_P90_3D,w05,w15,TMAX,90,3,
window,TMAX_P90_3D__w05,TMAX_P90_3D__month,TMAX_P90_3D,TMAX_P90_3D,w05,month,TMAX,90,3,
window,TMAX_P90_3D__w05,TMAX_P90_3D__month_pm7,TMAX_P90_3D,TMAX_P90_3D,w05,month_pm7,TMAX,90,3,
metric,TMAX_P90_3D__w05,TMIN_P90_3D__w05,TMAX_P90_3D,TMIN_P90_3D,TMAX,TMIN,,90,3,w05
percentile,TMAX_P90_3D__w05,TMAX_P85_3D__w05,TMAX_P90_3D,TMAX_P85_3D,90,85,TMAX,,3,w05
percentile,TMAX_P90_3D__w05,TMAX_P95_3D__w05,TMAX_P90_3D,TMAX_P95_3D,90,95,TMAX,,3,w05
metric,TMAX_P90_3D__w05,MHI_P90_3D__w05,TMAX_P90_3D,MHI_P90_3D,TMAX,MHI,,90,3,w05
window,TMAX_P90_3D__w15,TMAX_P90_3D__month,TMAX_P90_3D,TMAX_P90_3D,w15,month,TMAX,90,3,
window,TMAX_P90_3D__w15,TMAX_P90_3D__month_pm7,TMAX_P90_3D,TMAX_P90_3D,w15,month_pm7,TMAX,90,3,
metric,TMAX_P90_3D__w15,TMIN_P90_3D__w15,TMAX_P90_3D,TMIN_P90_3D,TMAX,TMIN,,90,3,w15
percentile,TMAX_P90_3D__w15,TMAX_P85_3D__w15,TMAX_P90_3D,TMAX_P85_3D,90,85,TMAX,,3,w15
percentile,TMAX_P90_3D__w15,TMAX_P95_3D__w15,TMAX_P90_3D,TMAX_P95_3D,90,95,TMAX,,3,w15
metric,TMAX_P90_3D__w15,MHI_P90_3D__w15,TMAX_P90_3D,MHI_P90_3D,TMAX,MHI,,90,3,w15
window,TMAX_P90_3D__month,TMAX_P90_3D__month_pm7,TMAX_P90_3D,TMAX_P90_3D,month,month_pm7,TMAX,90,3,
