county_fips,year,classified_dates,events_started
48117,2016,17,4
48117,2017,7,2
48117,2018,17,4
48117,2019,24,5
48117,2020,27,6
48117,2021,7,2
48117,2022,28,6
48117,2023,43,8
48117,2024,27,6
48117,2025,5,1
48119,2015,11,2
48119,2016,20,4
48119,2017,5,1
48119,2018,33,6
48119,2019,16,3
48119,2020,5,1
48119,2021,4,1
48119,2022,51,6
48119,2023,38,6
48119,2024,17,4
48121,2015,6,1
48121,2017,4,1
48121,2018,32,6
48121,2019,13,2
48121,2020,7,2
48121,2021,5,1
48121,2022,52,5
48121,2023,68,9
48121,2024,18,4
48121,2025,3,1
48123,2015,14,2
48123,2016,21,3
48123,2017,12,3
48123,2018,34,5
48123,2019,42,8
48123,2020,26,4
48123,2021,5,1
48123,2022,55,7
48123,2023,100,6
48123,2024,36,7
48123,2025,51,8
48125,2015,15,3
48125,2016,7,2
48125,2017,8,2
48125,2018,11,3
48125,2019,14,4
48125,2020,22,5
48125,2021,4,1
48125,2022,25,5
48125,2023,37,7
48125,2024,30,6
48125,2025,6,2
48127,2015,3,1
48127,2016,16,3
48127,2017,10,3
48127,2018,22,4
48127,2019,33,7
48127,2020,16,4
48127,2021,5,1
48127,2022,16,4
48127,2023,61,5
48127,2024,10,3
48127,2025,6,2
48129,2015,3,1
48129,2016,3,1
48129,2017,4,1
48129,2018,8,2
48129,2019,10,3
48129,2020,15,3
48129,2022,14,3
48129,2023,25,5
48129,2024,24,4
48129,2025,4,1
48131,2015,8,1
48131,2016,4,1
48131,2017,10,1
48131,2018,7,2
48131,2019,26,6
48131,2020,5,1
48131,2021,5,1
48131,2022,35,6
48131,2023,84,7
48131,2024,18,4
48131,2025,22,5
48133,2015,7,1
48133,2016,6,2
48133,2017,13,2
48133,2018,33,6
48133,2019,23,4
48133,2020,16,3
48133,2021,4,1
48133,2022,59,6
48133,2023,76,9
48133,2024,30,4
48133,2025,4,1
48135,2015,4,1
48135,2016,9,2
48135,2017,9,2
48135,2018,3,1
48135,2019,17,3
48135,2020,25,6
48135,2021,7,2
48135,2022,15,4
48135,2023,66,8
48135,2024,10,2
48135,2025,3,1
48137,2015,5,1
48137,2016,8,2
48137,2017,21,4
48137,2018,7,1
48137,2019,3,1
48137,2020,11,3
48137,2022,14,3
48137,2023,64,8
48137,2024,20,4
48137,2025,5,1
48139,2015,6,2
48139,2016,5,1
48139,2017,5,1
48139,2018,32,4
48139,2019,24,4
48139,2020,14,3
48139,2021,5,1
48139,2022,64,6
48139,2023,58,8
48139,2024,12,3
48141,2017,3,1
48141,2018,10,3
48141,2019,15,4
48141,2020,33,6
48141,2021,11,2
48141,2022,11,3
48141,2023,55,7
48141,2024,35,8
48141,2025,16,3
48143,2016,8,2
48143,2017,5,1
48143,2018,33,4
48143,2019,15,3
48143,2020,17,4
48143,2022,66,5
48143,2023,69,9
48143,2024,9,2
48143,2025,3,1
48145,2015,11,2
48145,2018,30,4
48145,2019,22,5
48145,2020,13,3
48145,2022,60,5
48145,2023,76,8
48145,2024,11,2
48147,2015,16,3
48147,2016,26,4
48147,2018,18,5
48147,2019,17,3
48147,2020,6,1
48147,2021,3,1
48147,2022,44,7
48147,2023,26,5
48147,2024,30,4
48149,2015,7,1
48149,2016,3,1
48149,2017,3,1
48149,2018,13,4
48149,2019,30,4
48149,2020,26,4
48149,2021,5,1
48149,2022,52,4
48149,2023,81,8
48149,2024,10,2
48149,2025,3,1
48151,2015,9,2
48151,2016,5,1
48151,2017,4,1
48151,2018,14,3
48151,2019,14,3
48151,2020,22,4
48151,2022,30,6
48151,2023,53,10
48151,2024,17,3
48151,2025,3,1
48153,2016,4,1
48153,2017,3,1
48153,2018,5,1
48153,2019,8,2
48153,2020,16,4
48153,2022,11,3
48153,2023,28,7
48153,2024,14,2
48153,2025,3,1
48155,2015,8,2
48155,2016,3,1
48155,2017,11,3
48155,2018,12,3
48155,2019,18,4
48155,2020,17,3
48155,2021,4,1
48155,2022,45,7
48155,2023,63,10
48155,2024,29,4
48155,2025,6,2
48157,2015,18,3
48157,2018,12,2
48157,2019,7,2
