state,run_a,run_b,definition_a,definition_b,window_a,window_b,n_axes_differing,axes_differing,single_axis,heatwave_days_a_QA_pooled,heatwave_days_b_QA_pooled,county_dates_shared,county_dates_a_only,county_dates_b_only,jaccard_day_level,dice_day_level,pct_of_a_also_in_b,pct_of_b_also_in_a,count_ratio_b_over_a,county_rank_spearman
TX,MHI_P85_2D__w15,TMIN_P85_2D__w15,MHI_P85_2D,TMIN_P85_2D,w15,w15,1,metric,metric,170894,181444,125707,45187,55737,0.5547,0.7136,73.56,69.28,1.0617,0.8121
TX,MHI_P85_2D__w05,TMIN_P85_2D__w05,MHI_P85_2D,TMIN_P85_2D,w05,w05,1,metric,metric,177271,187198,130051,47220,57147,0.5548,0.7136,73.36,69.47,1.056,0.8216
TX,MHI_P85_2D__month,TMIN_P85_2D__month,MHI_P85_2D,TMIN_P85_2D,month,month,1,metric,metric,171115,182251,126918,44197,55333,0.5605,0.7183,74.17,69.64,1.0651,0.8014
TX,MHI_P95_2D__w05,MHI_P95_2D__month,MHI_P95_2D,MHI_P95_2D,w05,month,1,window,window,58890,53273,40468,18422,12805,0.5644,0.7216,68.72,75.96,0.9046,0.9792
TX,MHI_P90_3D__w05,MHI_P90_3D__month_pm7,MHI_P90_3D,MHI_P90_3D,w05,month_pm7,1,window,window,82824,71012,56007,26817,15005,0.5725,0.7281,67.62,78.87,0.8574,0.9748
TX,TMAX_P95_3D__w05,TMAX_P95_3D__month,TMAX_P95_3D,TMAX_P95_3D,w05,month,1,window,window,43977,38426,30026,13951,8400,0.5733,0.7288,68.28,78.14,0.8738,0.969
TX,TMIN_P95_3D__w05,TMIN_P95_3D__month_pm7,TMIN_P95_3D,TMIN_P95_3D,w05,month_pm7,1,window,window,47099,39412,31779,15320,7633,0.5806,0.7347,67.47,80.63,0.8368,0.9688
TX,TMAX_P95_2D__w05,TMAX_P95_2D__month_pm7,TMAX_P95_2D,TMAX_P95_2D,w05,month_pm7,1,window,window,62917,48059,40770,22147,7289,0.5807,0.7348,64.8,84.83,0.7638,0.9645
TX,MHI_P90_3D__w05,MHI_P90_3D__month,MHI_P90_3D,MHI_P90_3D,w05,month,1,window,window,82824,79886,60031,22793,19855,0.5846,0.7379,72.48,75.15,0.9645,0.982
TX,MHI_P95_2D__w15,MHI_P95_2D__month_pm7,MHI_P95_2D,MHI_P95_2D,w15,month_pm7,1,window,window,52786,45107,36244,16542,8863,0.5879,0.7405,68.66,80.35,0.8545,0.9721
TX,TMIN_P95_3D__w05,TMIN_P95_3D__month,TMIN_P95_3D,TMIN_P95_3D,w05,month,1,window,window,47099,43309,33701,13398,9608,0.5943,0.7455,71.55,77.82,0.9195,0.9714
TX,MHI_P95_2D__w15,MHI_P95_2D__month,MHI_P95_2D,MHI_P95_2D,w15,month,1,window,window,52786,53273,39639,13147,13634,0.5968,0.7475,75.09,74.41,1.0092,0.9829
TX,MHI_P90_3D__w15,MHI_P90_3D__month_pm7,MHI_P90_3D,MHI_P90_3D,w15,month_pm7,1,window,window,77785,71012,55810,21975,15202,0.6002,0.7501,71.75,78.59,0.9129,0.979
TX,MHI_P90_2D__w05,MHI_P90_2D__month_pm7,MHI_P90_2D,MHI_P90_2D,w05,month_pm7,1,window,window,116802,99482,81286,35516,18196,0.6021,0.7517,69.59,81.71,0.8517,0.9769
TX,TMAX_P95_3D__w15,TMAX_P95_3D__month_pm7,TMAX_P95_3D,TMAX_P95_3D,w15,month_pm7,1,window,window,38876,32851,26964,11912,5887,0.6024,0.7519,69.36,82.08,0.845,0.9662
TX,TMAX_P95_2D__w05,TMAX_P95_2D__month,TMAX_P95_2D,TMAX_P95_2D,w05,month,1,window,window,62917,55270,44474,18443,10796,0.6033,0.7526,70.69,80.47,0.8785,0.9787
TX,MHI_P90_3D__w15,MHI_P90_3D__month,MHI_P90_3D,MHI_P90_3D,w15,month,1,window,window,77785,79886,59415,18370,20471,0.6047,0.7537,76.38,74.37,1.027,0.984
TX,TMIN_P95_2D__w05,TMIN_P95_2D__month_pm7,TMIN_P95_2D,TMIN_P95_2D,w05,month_pm7,1,window,window,67525,56590,47001,20524,9589,0.6095,0.7574,69.61,83.06,0.8381,0.9794
TX,TMAX_P95_3D__w15,TMAX_P95_3D__month,TMAX_P95_3D,TMAX_P95_3D,w15,month,1,window,window,38876,38426,29417,9459,9009,0.6143,0.7611,75.67,76.55,0.9884,0.9735
TX,TMAX_P90_3D__w05,TMAX_P90_3D__month_pm7,TMAX_P90_3D,TMAX_P90_3D,w05,month_pm7,1,window,window,85949,72426,60406,25543,12020,0.6166,0.7628,70.28,83.4,0.8427,0.9716
TX,MHI_P90_2D__w05,MHI_P90_2D__month,MHI_P90_2D,MHI_P90_2D,w05,month,1,window,window,116802,110334,86761,30041,23573,0.6181,0.764,74.28,78.63,0.9446,0.9869
TX,MHI_P85_2D__month_pm7,MHI_P90_2D__month_pm7,MHI_P85_2D,MHI_P90_2D,month_pm7,month_pm7,1,percentile,percentile,159534,99482,99482,60052,0,0.6236,0.7682,62.36,100.0,0.6236,0.9835
TX,TMIN_P95_2D__w05,TMIN_P95_2D__month,TMIN_P95_2D,TMIN_P95_2D,w05,month,1,window,window,67525,61903,49769,17756,12134,0.6248,0.7691,73.7,80.4,0.9167,0.9872
TX,TMAX_P90_3D__month_pm7,TMAX_P85_3D__month_pm7,TMAX_P90_3D,TMAX_P85_3D,month_pm7,month_pm7,1,percentile,percentile,72426,115678,72426,0,43252,0.6261,0.7701,100.0,62.61,1.5972,0.9662
