pair,county_fips,a_only,b_only,shared,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48373,194,199,141,534,73.6,Polk,East Texas,86.0,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48375,249,177,131,557,76.48,Potter,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48377,67,783,332,1182,71.91,Presidio,Trans-Pecos,2.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48379,163,303,123,589,79.12,Rains,East Texas,0.5,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48381,257,150,85,492,82.72,Randall,High Plains,8.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48383,401,298,219,918,76.14,Reagan,Edwards Plateau,2.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48385,325,226,70,621,88.73,Real,Edwards Plateau,2.5,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48387,204,353,168,725,76.83,Red River,East Texas,0.6,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48389,234,441,198,873,77.32,Reeves,Trans-Pecos,4.4,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48391,62,642,55,759,92.75,Refugio,South Central,3.6,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48393,226,307,213,746,71.45,Roberts,High Plains,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48395,293,274,261,828,68.48,Robertson,East Texas,5.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48397,138,466,265,869,69.51,Rockwall,North Central,25.0,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48399,309,166,102,577,82.32,Runnels,Low Rolling Plains,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48401,230,261,160,651,75.42,Rusk,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48403,283,365,239,887,73.06,Sabine,East Texas,1.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48405,343,299,171,813,78.97,San Augustine,East Texas,9.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48407,193,375,226,794,71.54,San Jacinto,East Texas,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48409,344,362,105,811,87.05,San Patricio,South Central,6.4,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48411,230,263,173,666,74.02,San Saba,Edwards Plateau,0.1,False,True
