state,run_id,definition_id,def_number,metric,percentile,minimum_duration_days,window,window_label,counties_total,counties_with_any_heatwave_day,counties_with_zero_heatwave_days,eligible_county_days_QA_pooled,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,heatwave_days_per_1000_eligible_QA_pooled,per_county_heatwave_days_2015_2025_median,per_county_heatwave_days_2015_2025_q25,per_county_heatwave_days_2015_2025_q75,per_county_heatwave_days_2015_2025_min,per_county_heatwave_days_2015_2025_max,event_duration_days_median,event_duration_days_q75,event_duration_days_max,events_of_2_days,events_of_3_days,events_7_days_or_more,events_at_or_over_review_length,events_crossing_a_month_boundary,events_crossing_a_year_boundary,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,pct_heatwave_days_in_jun_sep,peak_month_by_rate,heatwave_days_imputed_QA_pooled,pct_heatwave_days_imputed,artifact_county_days_excluded,reference_method,season_rule,absolute_floor,comparison_op
TX,TMAX_P95_3D__w05,TMAX_P95_3D,14,TMAX,95,3,w05,centered 5-day window (+/-2 days),254,254,0,1020572,43977,9625,43.09,158.5,119.0,212.0,16,424,4.0,5.0,46,0,4261,1355,27,697,129,55.96,36.64,43.37,Aug,6604,15.02,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P95_3D__w15,TMAX_P95_3D,14,TMAX,95,3,w15,centered 15-day window (+/-7 days),254,254,0,1020572,38876,8555,38.09,141.0,105.0,188.5,15,375,4.0,5.0,44,0,3821,1128,25,660,118,52.1,31.07,45.68,Aug,5633,14.49,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P95_3D__month,TMAX_P95_3D,14,TMAX,95,3,month,calendar-month bucket,254,254,0,1020572,38426,8476,37.65,138.5,101.0,187.0,9,370,4.0,5.0,46,0,3817,1002,29,353,95,50.95,30.98,45.2,Aug,5838,15.19,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P95_3D__month_pm7,TMAX_P95_3D,14,TMAX,95,3,month_pm7,calendar month +/- 7 days,254,254,0,1020572,32851,7276,32.19,119.5,87.0,160.75,3,319,4.0,5.0,46,0,3362,821,31,326,78,48.21,24.15,50.03,Aug,4899,14.91,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P95_3D__w05,TMIN_P95_3D,15,TMIN,95,3,w05,centered 5-day window (+/-2 days),254,254,0,1020572,47099,10797,46.15,172.0,122.0,235.75,19,616,4.0,5.0,48,0,4772,1118,3,974,35,66.09,36.15,47.83,Aug,9049,19.21,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P95_3D__w15,TMIN_P95_3D,15,TMIN,95,3,w15,centered 15-day window (+/-7 days),254,254,0,1020572,42638,9786,41.78,156.0,105.5,211.5,7,580,4.0,5.0,48,0,4352,972,4,848,29,61.04,32.12,48.8,Aug,8211,19.26,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P95_3D__month,TMIN_P95_3D,15,TMIN,95,3,month,calendar-month bucket,254,254,0,1020572,43309,9896,42.44,156.5,114.25,214.0,13,569,4.0,5.0,48,0,4367,1042,7,615,22,62.08,32.58,48.86,Aug,8211,18.96,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P95_3D__month_pm7,TMIN_P95_3D,15,TMIN,95,3,month_pm7,calendar month +/- 7 days,254,254,0,1020572,39412,8990,38.62,141.5,99.5,193.75,13,523,4.0,5.0,48,0,4010,947,8,579,18,60.35,27.72,52.19,Aug,7331,18.6,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_3D__w05,MHI_P90_3D,16,MHI,90,3,w05,centered 5-day window (+/-2 days),254,254,0,1020475,82824,18369,81.16,313.0,245.25,392.75,63,709,4.0,5.0,48,0,7999,2593,8,1603,147,92.73,75.36,38.16,Dec,14452,17.45,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_3D__w15,MHI_P90_3D,16,MHI,90,3,w15,centered 15-day window (+/-7 days),254,254,0,1020475,77785,17279,76.22,290.0,228.0,376.75,48,697,4.0,5.0,48,0,7521,2432,6,1476,164,89.47,69.58,39.21,Dec,13522,17.38,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_3D__month,MHI_P90_3D,16,MHI,90,3,month,calendar-month bucket,254,254,0,1020475,79886,17915,78.28,301.0,234.0,378.75,54,679,4.0,5.0,48,0,7743,2340,7,879,127,89.28,72.77,38.09,Dec,13829,17.31,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_3D__month_pm7,MHI_P90_3D,16,MHI,90,3,month_pm7,calendar month +/- 7 days,254,254,0,1020475,71012,16009,69.59,266.0,199.25,335.75,38,638,4.0,5.0,48,0,7069,2017,9,817,115,85.45,61.63,41.02,Aug,12125,17.07,97,walk_forward_1979_to_Yminus1,year_round,none,>
