state,file,bytes,modified_utc,produced_by,unit_of_analysis,git_commit,input_hash,python,pandas,numpy
TX,county_profiles/48059/fig08_report_card_48059.png,369362,2026-07-30T18:43:49Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48059/jaccard_matrix.csv,5182,2026-07-30T18:43:49Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48061/county_month_summary.csv,124062,2026-07-30T18:43:51Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48061/county_year_summary.csv,20387,2026-07-30T18:43:51Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48061/fig08_report_card_48061.png,383451,2026-07-30T18:43:51Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48061/jaccard_matrix.csv,5140,2026-07-30T18:43:51Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48063/county_month_summary.csv,95715,2026-07-30T18:43:53Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48063/county_year_summary.csv,19816,2026-07-30T18:43:53Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48063/fig08_report_card_48063.png,373203,2026-07-30T18:43:53Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48063/jaccard_matrix.csv,5146,2026-07-30T18:43:53Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48065/county_month_summary.csv,117739,2026-07-30T18:43:55Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48065/county_year_summary.csv,20599,2026-07-30T18:43:55Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48065/fig08_report_card_48065.png,377022,2026-07-30T18:43:55Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48065/jaccard_matrix.csv,5160,2026-07-30T18:43:55Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48067/county_month_summary.csv,98705,2026-07-30T18:43:57Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
