county_fips,year,classified_assessment_dates
48165,1992,2
48165,1993,10
48165,1994,23
48165,1995,10
48165,1996,12
48165,1997,3
48165,1998,46
48165,1999,16
48165,2000,27
48165,2001,36
48165,2002,15
48165,2003,16
48165,2004,14
48165,2005,5
48165,2006,19
48165,2007,1
48165,2008,13
48165,2009,8
48165,2010,10
48165,2011,70
48165,2012,36
48165,2013,18
48165,2014,20
48165,2015,21
48165,2016,25
48165,2017,5
48165,2018,37
48165,2019,26
48165,2020,42
48165,2021,13
48165,2022,56
48165,2023,67
48165,2024,51
48165,2025,23
48167,1980,11
48167,1981,28
48167,1982,9
48167,1983,30
48167,1984,11
48167,1985,4
48167,1986,4
48167,1987,21
48167,1988,17
48167,1989,14
48167,1990,30
48167,1993,4
48167,1995,31
48167,1996,7
48167,1997,16
48167,1998,21
48167,1999,26
48167,2000,17
48167,2001,3
48167,2003,3
48167,2004,5
48167,2005,21
48167,2006,4
48167,2007,6
48167,2008,5
48167,2009,43
48167,2010,29
48167,2011,76
48167,2012,39
48167,2013,29
48167,2014,19
48167,2015,36
48167,2016,38
48167,2017,20
48167,2018,29
48167,2019,59
48167,2020,61
48167,2021,40
48167,2022,59
48167,2023,83
48167,2024,41
48167,2025,28
48169,1979,2
48169,1980,29
48169,1981,11
48169,1983,13
48169,1984,1
48169,1985,9
48169,1986,7
48169,1987,4
48169,1989,5
48169,1990,12
48169,1991,1
48169,1993,15
48169,1994,30
48169,1995,11
48169,1996,21
48169,1997,4
48169,1998,44
48169,1999,24
48169,2000,33
48169,2001,30
48169,2002,9
48169,2003,11
48169,2004,2
48169,2006,23
48169,2008,9
48169,2009,21
48169,2010,21
48169,2011,84
48169,2012,37
48169,2013,19
48169,2014,24
48169,2015,18
48169,2016,36
48169,2017,11
48169,2018,36
48169,2019,34
48169,2020,36
48169,2021,16
48169,2022,58
48169,2023,59
48169,2024,52
48169,2025,20
48171,1980,22
48171,1981,1
48171,1982,5
48171,1984,10
48171,1985,5
48171,1987,1
48171,1988,2
48171,1989,11
48171,1990,5
48171,1991,2
48171,1993,23
48171,1994,31
48171,1995,15
48171,1996,37
48171,1997,9
48171,1998,54
48171,1999,20
48171,2000,42
48171,2001,37
48171,2002,2
48171,2003,3
48171,2004,1
48171,2005,10
48171,2006,28
48171,2008,16
48171,2009,59
48171,2010,20
48171,2011,65
48171,2012,17
48171,2013,18
48171,2014,5
48171,2015,11
48171,2016,18
48171,2017,4
48171,2018,30
48171,2019,17
48171,2020,24
48171,2022,49
48171,2023,73
48171,2024,19
48171,2025,3
48173,1980,33
48173,1981,9
48173,1982,8
48173,1983,14
48173,1984,12
48173,1985,11
48173,1987,4
48173,1989,7
48173,1990,11
48173,1992,1
48173,1993,8
48173,1994,19
48173,1995,9
48173,1996,21
48173,1997,3
48173,1998,39
48173,1999,7
48173,2000,23
48173,2001,25
48173,2002,6
48173,2003,10
48173,2004,8
48173,2005,9
48173,2006,30
48173,2008,22
48173,2009,23
48173,2010,28
48173,2011,79
48173,2012,32
48173,2013,16
48173,2014,8
48173,2015,18
48173,2016,34
48173,2017,6
48173,2018,40
48173,2019,29
48173,2020,31
48173,2021,5
48173,2022,54
48173,2023,68
48173,2024,45
48173,2025,10
48175,1980,43
48175,1982,19
48175,1984,3
48175,1985,11
48175,1986,12
48175,1987,4
48175,1988,47
48175,1989,34
48175,1990,25
48175,1991,4
48175,1992,4
48175,1993,17
48175,1994,14
48175,1995,16
48175,1996,47
48175,1997,45
48175,1998,67
48175,1999,19
48175,2000,30
48175,2001,28
48175,2002,3
48175,2003,3
48175,2005,11
48175,2006,2
48175,2008,4
48175,2009,58
48175,2010,3
48175,2011,46
48175,2012,7
48175,2013,5
48175,2014,11
48175,2015,4
48175,2016,5
48175,2017,2
48175,2019,1
48175,2020,9
48175,2022,7
48175,2023,73
48175,2024,1
48175,2025,2
48177,1980,41
48177,1981,2
48177,1982,28
48177,1983,5
48177,1984,10
48177,1985,23
48177,1986,14
48177,1987,6
48177,1988,14
48177,1989,13
48177,1990,6
48177,1994,3
48177,1995,8
48177,1996,18
48177,1997,12
48177,1998,55
48177,1999,11
48177,2000,23
48177,2001,34
48177,2003,5
48177,2005,15
48177,2006,18
48177,2008,11
48177,2009,76
48177,2010,15
48177,2011,65
48177,2012,20
48177,2013,24
48177,2014,24
48177,2015,10
48177,2016,22
48177,2017,22
48177,2018,42
48177,2019,45
48177,2020,35
48177,2022,65
48177,2023,86
48177,2024,37
48177,2025,31
48179,1979,4
48179,1980,49
48179,1981,16
48179,1982,13
48179,1983,39
48179,1984,14
48179,1985,7
48179,1986,10
48179,1987,1
48179,1988,3
48179,1989,1
48179,1990,19
48179,1992,3
48179,1994,19
48179,1995,11
48179,1996,11
48179,1997,3
48179,1998,34
48179,1999,18
48179,2000,27
48179,2001,37
48179,2002,3
48179,2003,23
48179,2004,3
48179,2005,3
48179,2006,21
48179,2007,6
48179,2008,13
48179,2009,16
48179,2010,9
48179,2011,71
48179,2012,37
48179,2013,19
48179,2014,8
48179,2015,11
48179,2016,18
48179,2017,6
48179,2018,12
48179,2019,23
48179,2020,26
48179,2021,8
48179,2022,36
48179,2023,25
48179,2024,43
48179,2025,7
48181,1979,2
48181,1980,60
48181,1981,15
48181,1982,9
48181,1983,11
48181,1984,17
48181,1985,32
48181,1986,17
48181,1987,26
48181,1988,18
48181,1989,2
48181,1990,24
48181,1991,4
48181,1993,14
48181,1994,2
48181,1995,9
48181,1996,11
48181,1997,7
48181,1998,48
48181,1999,25
48181,2000,27
48181,2003,9
48181,2005,7
48181,2006,35
48181,2007,4
48181,2008,6
48181,2009,9
48181,2010,23
48181,2011,60
48181,2012,32
48181,2013,22
48181,2014,5
48181,2015,23
48181,2016,25
48181,2017,5
48181,2018,21
48181,2019,18
48181,2020,13
48181,2021,5
48181,2022,46
48181,2023,46
48181,2024,29
48181,2025,9
48183,1980,41
48183,1981,3
48183,1982,5
48183,1984,6
48183,1985,3
48183,1986,9
48183,1987,17
48183,1988,4
48183,1990,6
48183,1993,19
48183,1995,27
48183,1996,15
48183,1997,13
48183,1998,66
48183,1999,19
48183,2000,31
48183,2001,6
48183,2002,13
48183,2003,10
48183,2004,1
48183,2005,10
48183,2006,40
48183,2007,6
48183,2008,14
48183,2009,16
48183,2010,35
48183,2011,80
48183,2012,32
48183,2013,30
48183,2014,2
48183,2015,24
48183,2016,29
48183,2017,9
48183,2018,42
48183,2019,29
48183,2020,11
48183,2021,2
48183,2022,51
48183,2023,51
48183,2024,15
48183,2025,10
48185,1980,41
48185,1981,3
48185,1982,22
48185,1984,6
48185,1985,28
48185,1986,13
48185,1987,14
48185,1988,12
48185,1989,4
48185,1990,9
48185,1993,14
48185,1994,4
48185,1995,11
48185,1996,22
48185,1997,12
48185,1998,62
48185,1999,19
48185,2000,32
48185,2001,17
48185,2003,5
48185,2004,1
48185,2005,12
48185,2006,20
48185,2007,5
48185,2008,10
48185,2009,52
48185,2010,26
48185,2011,78
48185,2012,32
48185,2013,27
48185,2014,10
48185,2015,17
48185,2016,30
48185,2017,20
48185,2018,26
48185,2019,21
48185,2020,26
48185,2021,5
48185,2022,65
48185,2023,82
48185,2024,34
48185,2025,4
48187,1980,37
48187,1982,19
48187,1983,2
48187,1984,5
48187,1985,15
48187,1986,12
48187,1987,7
48187,1988,11
48187,1989,11
48187,1990,5
48187,1993,2
48187,1994,8
48187,1995,9
48187,1996,30
48187,1997,7
48187,1998,49
48187,1999,10
48187,2000,22
48187,2001,20
48187,2002,1
48187,2003,4
48187,2005,24
48187,2006,27
48187,2007,2
48187,2008,44
48187,2009,78
48187,2010,25
48187,2011,67
48187,2012,13
48187,2013,17
48187,2014,19
48187,2015,34
48187,2016,24
48187,2017,29
48187,2018,49
48187,2019,51
48187,2020,51
48187,2021,1
48187,2022,65
48187,2023,93
48187,2024,45
48187,2025,15
48189,1979,9
48189,1980,45
48189,1981,23
48189,1982,17
48189,1983,31
48189,1984,1
48189,1985,8
48189,1986,13
48189,1987,6
48189,1989,3
48189,1990,14
48189,1992,2
48189,1993,10
48189,1994,16
48189,1995,12
48189,1996,17
48189,1997,7
48189,1998,44
48189,1999,22
48189,2000,16
48189,2001,29
48189,2002,3
48189,2003,15
48189,2006,16
48189,2007,1
48189,2008,4
48189,2009,10
48189,2010,4
48189,2011,78
48189,2012,26
48189,2013,12
48189,2014,8
48189,2015,11
48189,2016,35
48189,2017,14
48189,2018,17
48189,2019,26
48189,2020,33
48189,2021,10
48189,2022,50
48189,2023,44
48189,2024,40
48189,2025,10
48191,1979,4
48191,1980,44
48191,1981,19
48191,1982,15
48191,1983,30
48191,1984,8
48191,1985,5
48191,1986,11
48191,1988,2
48191,1989,4
48191,1990,23
48191,1991,6
48191,1992,3
48191,1993,19
48191,1994,21
48191,1995,8
48191,1996,11
48191,1998,46
48191,1999,10
48191,2000,16
48191,2001,25
48191,2002,4
48191,2003,20
48191,2004,1
48191,2005,1
48191,2006,27
48191,2007,2
48191,2008,7
48191,2009,8
48191,2010,7
48191,2011,77
48191,2012,29
48191,2013,18
48191,2014,8
48191,2015,10
