county_fips,year,month,classified_assessment_dates
48021,1997,8,6
48021,1998,6,15
48021,1998,7,27
48021,1998,8,7
48021,1999,8,16
48021,2000,7,13
48021,2000,8,7
48021,2000,9,9
48021,2001,7,6
48021,2001,8,12
48021,2002,8,2
48021,2003,8,8
48021,2004,8,2
48021,2005,7,6
48021,2005,9,4
48021,2006,7,4
48021,2006,8,22
48021,2008,6,7
48021,2008,7,5
48021,2008,8,10
48021,2009,6,17
48021,2009,7,29
48021,2009,8,26
48021,2010,8,16
48021,2011,6,6
48021,2011,7,21
48021,2011,8,29
48021,2011,9,2
48021,2012,6,3
48021,2012,8,13
48021,2012,9,5
48021,2013,6,6
48021,2013,7,5
48021,2013,8,16
48021,2013,9,5
48021,2014,8,15
48021,2015,7,5
48021,2015,8,13
48021,2016,7,17
48021,2016,8,8
48021,2017,6,4
48021,2017,7,24
48021,2017,8,11
48021,2018,6,2
48021,2018,7,15
48021,2018,8,16
48021,2019,7,7
48021,2019,8,27
48021,2020,7,13
48021,2020,8,16
48021,2020,9,2
48021,2021,8,1
48021,2021,9,4
48021,2022,6,20
48021,2022,7,27
48021,2022,8,14
48021,2023,6,15
48021,2023,7,26
48021,2023,8,29
48021,2023,9,11
48021,2024,5,3
48021,2024,6,6
48021,2024,7,7
48021,2024,8,24
48021,2024,9,3
48021,2025,5,1
48021,2025,6,5
48021,2025,7,4
48021,2025,8,16
48021,2025,9,1
48023,1980,6,5
48023,1980,7,23
48023,1980,8,8
48023,1981,7,9
48023,1981,8,2
48023,1982,8,3
48023,1983,7,6
48023,1983,8,7
48023,1983,9,1
48023,1984,7,5
48023,1984,8,1
48023,1985,8,7
48023,1985,9,2
48023,1986,7,6
48023,1986,8,5
48023,1987,8,5
48023,1988,8,4
48023,1989,7,1
48023,1990,6,3
48023,1991,7,3
48023,1993,7,7
48023,1993,8,8
48023,1994,6,4
48023,1994,7,4
48023,1994,8,1
48023,1995,7,3
48023,1995,9,2
48023,1996,6,2
48023,1996,7,12
48023,1996,8,4
48023,1997,8,1
48023,1997,9,2
48023,1998,6,16
48023,1998,7,22
48023,1998,8,7
48023,1998,9,1
48023,1999,7,7
48023,1999,8,15
48023,2000,5,2
48023,2000,7,13
48023,2000,8,27
48023,2000,9,9
48023,2001,7,25
48023,2001,8,6
48023,2002,7,1
48023,2002,8,2
48023,2003,7,11
48023,2003,8,11
48023,2006,7,14
48023,2006,8,20
48023,2008,7,5
48023,2008,8,3
48023,2009,6,5
48023,2009,7,9
48023,2009,8,7
48023,2010,8,19
48023,2011,5,1
48023,2011,6,20
48023,2011,7,31
48023,2011,8,28
48023,2011,9,3
48023,2012,6,5
48023,2012,7,17
48023,2012,8,12
48023,2012,9,5
48023,2013,6,5
48023,2013,7,5
48023,2013,8,7
48023,2013,9,3
48023,2014,7,2
48023,2014,8,8
48023,2014,9,1
48023,2015,7,8
48023,2015,8,6
48023,2016,7,10
48023,2016,8,10
48023,2017,7,8
48023,2018,6,5
48023,2018,7,10
48023,2018,8,7
48023,2018,9,1
48023,2019,8,14
48023,2020,7,10
48023,2020,8,11
48023,2021,8,3
48023,2022,5,1
48023,2022,6,7
48023,2022,7,22
48023,2022,8,9
48023,2023,6,6
48023,2023,7,12
48023,2023,8,25
48023,2023,9,6
48023,2024,6,5
48023,2024,7,7
48023,2024,8,21
48023,2025,7,4
48023,2025,8,3
48025,1980,6,10
48025,1980,7,28
48025,1980,8,4
48025,1982,6,1
48025,1982,7,8
48025,1982,8,14
48025,1982,9,2
48025,1983,7,2
48025,1983,8,1
48025,1984,6,5
48025,1984,7,1
48025,1984,8,1
48025,1985,8,25
48025,1985,9,7
48025,1986,7,14
48025,1986,8,6
48025,1987,8,5
48025,1987,9,4
48025,1988,7,13
48025,1988,8,18
48025,1989,5,1
48025,1989,6,2
48025,1989,7,11
48025,1989,8,14
48025,1989,9,8
48025,1990,6,15
48025,1991,7,2
48025,1991,8,9
48025,1992,7,2
48025,1994,6,1
48025,1994,7,4
48025,1994,8,1
48025,1995,7,11
48025,1995,8,1
48025,1995,9,1
48025,1996,6,4
48025,1996,7,9
48025,1996,8,11
48025,1997,7,1
48025,1997,8,18
48025,1998,6,20
48025,1998,7,28
48025,1998,8,10
48025,1999,8,7
48025,2000,7,2
48025,2000,9,7
48025,2001,6,1
48025,2001,7,11
48025,2001,8,7
48025,2002,8,1
48025,2003,8,2
48025,2004,8,2
48025,2005,7,2
48025,2005,8,3
48025,2005,9,4
48025,2006,8,3
48025,2009,6,5
48025,2009,7,30
48025,2009,8,27
48025,2010,8,10
48025,2011,6,3
48025,2011,7,12
48025,2011,8,30
48025,2011,9,5
48025,2012,6,6
48025,2012,8,6
48025,2012,9,2
48025,2013,6,2
48025,2013,8,7
48025,2014,8,21
48025,2015,8,3
48025,2016,7,4
48025,2016,8,5
48025,2017,7,2
48025,2017,8,10
48025,2018,6,7
48025,2019,7,1
48025,2019,8,21
48025,2020,7,9
48025,2020,8,6
48025,2020,9,5
48025,2022,6,4
48025,2022,7,5
48025,2022,8,4
48025,2023,6,17
48025,2023,7,24
48025,2023,8,26
48025,2023,9,12
48025,2024,5,1
48025,2024,6,7
48025,2024,8,4
48025,2025,8,17
48025,2025,9,3
48027,1980,6,6
48027,1980,7,28
48027,1980,8,12
48027,1981,7,1
48027,1981,8,2
48027,1982,7,9
48027,1982,8,13
48027,1984,7,1
48027,1984,8,5
48027,1985,7,3
48027,1985,8,14
48027,1985,9,3
48027,1986,7,5
48027,1986,8,7
48027,1987,8,9
48027,1988,8,8
48027,1989,7,1
48027,1989,9,1
48027,1990,9,1
48027,1994,7,5
48027,1994,8,1
48027,1995,7,4
48027,1996,7,14
48027,1996,8,8
48027,1997,7,3
48027,1997,8,2
48027,1998,6,6
48027,1998,7,28
48027,1998,8,8
48027,1998,9,2
48027,1999,8,14
48027,2000,7,12
48027,2000,8,23
48027,2000,9,8
48027,2001,7,3
48027,2001,8,10
48027,2002,8,2
48027,2003,7,3
48027,2003,8,4
48027,2005,7,1
48027,2005,9,3
48027,2006,7,3
48027,2006,8,18
48027,2007,8,3
48027,2008,6,1
48027,2008,7,8
48027,2008,8,10
48027,2009,6,18
48027,2009,7,29
