county_fips,year,classified_dates,events_started
48287,2024,50,17
48287,2025,73,23
48289,2015,27,9
48289,2016,52,16
48289,2017,57,19
48289,2018,12,5
48289,2019,24,9
48289,2020,39,11
48289,2021,16,4
48289,2022,31,10
48289,2023,57,20
48289,2024,60,16
48289,2025,61,15
48291,2015,46,14
48291,2016,86,20
48291,2017,48,15
48291,2018,48,12
48291,2019,37,8
48291,2020,44,16
48291,2021,41,12
48291,2022,58,17
48291,2023,113,26
48291,2024,68,22
48291,2025,82,16
48293,2015,20,6
48293,2016,30,9
48293,2017,34,12
48293,2018,2,1
48293,2019,9,3
48293,2020,18,7
48293,2021,31,8
48293,2022,24,9
48293,2023,42,15
48293,2024,56,18
48293,2025,36,10
48295,2015,59,20
48295,2016,59,20
48295,2017,41,16
48295,2018,22,7
48295,2019,30,12
48295,2020,37,11
48295,2021,38,14
48295,2022,45,14
48295,2023,46,18
48295,2024,62,23
48295,2025,57,19
48297,2015,20,6
48297,2016,29,9
48297,2017,51,17
48297,2018,5,2
48297,2019,16,7
48297,2020,20,9
48297,2021,32,9
48297,2022,39,15
48297,2023,63,17
48297,2024,64,19
48297,2025,114,29
48299,2015,32,12
48299,2016,41,11
48299,2017,49,17
48299,2018,19,9
48299,2019,20,8
48299,2020,29,12
48299,2021,32,9
48299,2022,26,10
48299,2023,42,12
48299,2024,37,11
48299,2025,58,15
48301,2015,33,11
48301,2016,44,12
48301,2017,46,14
48301,2018,16,7
48301,2019,25,9
48301,2020,26,10
48301,2021,43,11
48301,2022,26,10
48301,2023,30,11
48301,2024,31,11
48301,2025,38,8
48303,2015,31,10
48303,2016,34,11
48303,2017,43,16
48303,2018,22,11
48303,2019,25,10
48303,2020,31,13
48303,2021,30,11
48303,2022,14,7
48303,2023,26,9
48303,2024,37,15
48303,2025,66,23
48305,2015,37,14
48305,2016,51,18
48305,2017,53,19
48305,2018,43,20
48305,2019,48,19
48305,2020,34,16
48305,2021,30,10
48305,2022,24,9
48305,2023,34,14
48305,2024,34,14
48305,2025,47,17
48307,2015,29,10
48307,2016,33,12
48307,2017,33,12
48307,2018,10,5
48307,2019,19,8
48307,2020,21,9
48307,2021,27,7
48307,2022,11,5
48307,2023,23,9
48307,2024,67,24
48307,2025,62,20
48309,2015,30,9
48309,2016,64,16
48309,2017,54,18
48309,2018,14,5
48309,2019,32,11
48309,2020,42,15
48309,2021,58,14
48309,2022,46,17
48309,2023,45,13
48309,2024,101,26
48309,2025,53,13
48311,2015,15,6
48311,2016,24,9
48311,2017,46,16
48311,2018,12,6
48311,2019,22,9
48311,2020,25,11
48311,2021,26,7
48311,2022,35,14
48311,2023,44,15
48311,2024,34,13
48311,2025,57,17
48313,2015,19,6
48313,2016,23,8
48313,2017,30,12
48313,2018,16,6
48313,2019,19,6
48313,2020,29,11
48313,2021,26,9
48313,2022,24,8
48313,2023,32,12
48313,2024,50,18
48313,2025,40,10
48315,2015,53,14
48315,2016,62,19
48315,2017,58,21
48315,2018,41,11
48315,2019,48,12
48315,2020,26,9
48315,2021,50,15
48315,2022,60,22
48315,2023,61,21
48315,2024,56,16
48315,2025,47,13
48317,2015,44,15
48317,2016,56,14
48317,2017,61,21
48317,2018,33,13
48317,2019,25,10
48317,2020,29,13
48317,2021,46,12
48317,2022,34,15
48317,2023,29,11
48317,2024,50,16
48317,2025,51,11
48319,2015,30,11
48319,2016,54,13
48319,2017,50,17
48319,2018,26,11
48319,2019,31,13
48319,2020,37,14
48319,2021,58,15
48319,2022,49,15
48319,2023,64,21
48319,2024,65,17
48319,2025,68,19
48321,2015,45,13
48321,2016,64,20
48321,2017,75,20
48321,2018,57,12
48321,2019,70,22
48321,2020,63,20
48321,2021,37,9
48321,2022,86,19
48321,2023,130,17
48321,2024,84,22
48321,2025,78,20
48323,2015,4,2
48323,2016,30,11
48323,2017,53,19
48323,2018,6,3
48323,2019,2,1
48323,2021,19,5
48323,2022,1,0
48323,2023,24,9
48323,2024,21,5
48323,2025,29,4
48325,2015,18,7
48325,2016,41,13
48325,2017,67,22
48325,2018,20,7
48325,2019,21,7
48325,2020,57,21
48325,2021,42,12
48325,2022,71,24
48325,2023,75,20
48325,2024,59,19
48325,2025,72,18
48327,2015,32,11
48327,2016,41,12
48327,2017,52,21
48327,2018,18,8
48327,2019,29,13
48327,2020,27,12
48327,2021,40,13
48327,2022,23,9
48327,2023,44,15
48327,2024,52,19
48327,2025,54,16
48329,2015,27,10
48329,2016,55,15
48329,2017,52,14
48329,2018,23,9
48329,2019,27,11
48329,2020,26,11
48329,2021,41,12
48329,2022,8,4
48329,2023,25,10
48329,2024,22,10
48329,2025,45,13
48331,2015,22,8
48331,2016,36,9
48331,2017,48,16
48331,2018,18,7
48331,2019,35,8
48331,2020,36,14
48331,2021,44,14
48331,2022,45,18
48331,2023,55,18
48331,2024,70,21
48331,2025,80,23
48333,2015,33,13
48333,2016,41,12
48333,2017,38,13
48333,2018,13,6
48333,2019,31,13
48333,2020,24,11
48333,2021,40,11
48333,2022,39,14
48333,2023,37,15
48333,2024,45,12
48333,2025,67,21
48335,2015,21,8
